ID,Spot,Strike,Risk-Free Rate,Years to Expiry,Option Type,Model Type,Implied Volatility,Market Price
0,1.9119,2.0264,-0.0009,0.05304082191780822,Call,Bachelier,0.7883124557019721,0.096576518
1,0.8731,1.061,-0.0025,0.7623843835616438,Call,Bachelier,1.328794037400718,0.40362827
2,1.2286,1.3582,-0.0048,0.5319065753424658,Put,BlackScholes,0.869896877749003,0.39162934
3,1.8405,2.1037,-0.002,0.4444334246575342,Put,BlackScholes,1.2689375188138476,0.78609423
4,1.7372,1.9397,-0.001,0.7343484931506848,Call,Bachelier,0.41934489320920315,0.1886192
5,0.2817,0.3065,-0.0027,0.09375753424657533,Put,BlackScholes,nan,0.33722994
6,1.582,1.8987,-0.0017,0.4032246575342466,Call,BlackScholes,1.818538888920755,0.60912744
7,0.9042,0.9111,-0.0036,0.031326301369863016,Put,BlackScholes,0.27051774426574693,0.021005916
8,1.0528,1.1702,-0.0031,0.38097643835616435,Put,BlackScholes,1.084100358236905,0.35387831
9,0.6968,0.7587,-0.0039,0.17487342465753425,Put,BlackScholes,1.290103370297352,0.18770446
10,0.1554,0.173,-0.004,0.442952602739726,Call,Bachelier,5.879015637575359,0.26180174
11,1.0778,1.4657,-0.0029,0.9743956164383561,Call,BlackScholes,nan,1.1855858
12,1.9784,2.1653,-0.0012,0.5944879452054794,Put,BlackScholes,nan,2.3834666
13,1.5559,1.5733,-0.0009,0.1136172602739726,Call,BlackScholes,0.20918124827351983,0.035851218
14,0.4378,0.5101,-0.0046,1.0688109589041095,Put,Bachelier,1.8264403531323898,0.42356504
15,1.216,1.2376,-0.0004,0.6003654794520548,Put,BlackScholes,0.1441617896929943,0.066133251
16,1.0456,1.139,-0.0049,0.14207232876712328,Call,Bachelier,1.2602767546845879,0.17216538
17,1.3315,1.4348,-0.0007,1.0339339726027397,Call,BlackScholes,0.4649071136436245,0.21010422
18,0.1855,0.2021,-0.0,0.7657849315068493,Put,BlackScholes,0.617849442298021,0.050103566
19,1.8522,1.8596,-0.0033,0.07250958904109589,Put,Bachelier,0.05053072546976593,0.01450059
20,1.1975,1.4481,-0.0023,0.5208443835616439,Call,Bachelier,1.1493242378562563,0.3641165
21,0.9919,1.22,-0.0018,0.9097572602739726,Put,BlackScholes,1.3735797614670493,0.66014817
22,1.2986,1.6849,-0.0049,0.7121397260273972,Call,BlackScholes,1.9529273434974788,0.69816383
23,0.8714,0.9426,-0.0049,0.5804698630136986,Call,BlackScholes,0.6524998364211496,0.14370158
24,1.3014,1.3586,-0.0006,0.4150331506849315,Call,BlackScholes,0.4226777595845965,0.1170884
25,0.4818,0.619,-0.0019,0.8145728767123287,Call,BlackScholes,1.7565512677766062,0.24978226
26,1.5207,1.5319,-0.0029,0.004363013698630137,Call,BlackScholes,nan,1.6728092
27,1.836,2.2491,-0.0031,0.6650613698630137,Put,Bachelier,0.6988040043630629,0.74574876
28,1.2258,1.2589,-0.0009,0.3995260273972603,Call,BlackScholes,0.26716624540994854,0.068107687
29,1.4597,1.4992,-0.0002,0.18047808219178083,Call,Bachelier,0.26508931306115424,0.049442439
30,0.6312,0.7075,-0.0006,0.14899890410958905,Call,BlackScholes,1.870233328062088,0.15278183
31,1.0176,1.098,-0.0002,1.0446317808219177,Put,Bachelier,0.4285626483803225,0.23491481
32,1.5853,1.8868,-0.0003,0.922322191780822,Put,Bachelier,0.6077171259309572,0.6068661
33,1.6721,1.7063,-0.0042,0.3466723287671233,Put,Bachelier,0.1275297838465933,0.070117026
34,1.9761,2.2583,-0.0009,1.0122265753424657,Call,BlackScholes,0.8396236901052009,0.56037035
35,1.4542,1.5936,-0.0007,0.9780646575342467,Call,Bachelier,0.36740578356411613,0.16767797
36,0.5434,0.7103,-0.0045,0.836082191780822,Call,BlackScholes,1.8536181663229239,0.29794149
37,1.9989,2.0185,-0.0024,0.931832602739726,Call,Bachelier,2.837695351935896,2.1987376
38,0.8934,1.0536,-0.0015,0.40570876712328763,Call,BlackScholes,1.6387455657540404,0.31184293
39,0.273,0.3066,-0.0009,0.33551506849315066,Call,BlackScholes,nan,0.30025505
40,0.2543,0.2748,-0.0043,0.5091909589041096,Call,BlackScholes,0.6875099109602111,0.041431811
41,1.1196,1.1459,-0.0015,0.2089145205479452,Put,BlackScholes,0.32126030138921763,0.080485425
42,1.9088,2.1173,-0.0033,0.5423753424657535,Call,BlackScholes,0.8906357934890825,0.42018602
43,1.8775,2.1073,-0.0005,0.708892602739726,Call,BlackScholes,0.8678060102630709,0.46012312
44,1.5887,1.6524,-0.005,0.356817808219178,Call,Bachelier,0.25161278950000676,0.070589793
45,0.4975,0.5585,-0.001,0.3224180821917808,Call,Bachelier,2.306790223902194,0.26236793
46,1.5765,1.623,-0.0042,0.5739216438356165,Put,Bachelier,0.149347117719717,0.10138011
47,0.879,1.0624,-0.0,1.0294797260273973,Put,BlackScholes,1.1819751698435716,0.5345449
48,0.9273,1.0938,-0.002,0.5238380821917807,Put,BlackScholes,nan,1.2043676
49,1.155,1.2862,-0.0015,0.7291419178082191,Put,Bachelier,0.6187684831370965,0.34285453
50,0.9518,1.0208,-0.0018,0.5778345205479453,Put,Bachelier,0.5700281051617351,0.21388253
51,0.8579,0.9826,-0.0035,0.19195945205479453,Put,BlackScholes,1.959215323555067,0.37190332
52,0.9185,0.9823,-0.0006,0.12723561643835618,Put,BlackScholes,1.191534817328976,0.19382065
53,0.1854,0.2246,-0.0011,0.5771361643835616,Call,Bachelier,7.118451167950137,0.46550432
54,1.3692,1.4665,-0.0011,0.9323008219178083,Put,Bachelier,0.3061391760685443,0.22615658
55,1.9679,2.0845,-0.0034,1.039747397260274,Call,BlackScholes,0.35725776157909933,0.23899803
56,1.1255,1.1954,-0.0021,0.3384487671232877,Put,BlackScholes,0.6564198942474732,0.21298133
57,1.8871,2.0325,-0.0023,0.6581956164383561,Call,BlackScholes,0.5788453959895357,0.29601685
58,0.1077,0.1238,-0.0018,0.41474082191780826,Put,Bachelier,11.052842837119996,0.35997293
59,1.6981,1.7626,-0.0036,0.9740484931506849,Put,Bachelier,0.13528627746051045,0.13006836
60,1.7959,2.0661,-0.0045,0.4843008219178082,Call,BlackScholes,1.2743243897577945,0.53279912
61,1.0831,1.1292,-0.0029,0.7903986301369863,Call,BlackScholes,0.2967042805214582,0.094672413
62,1.2503,1.3233,-0.0044,0.2199619178082192,Call,Bachelier,0.5782126983211564,0.10921381
63,0.7015,0.7248,-0.0035,0.1603835616438356,Call,Bachelier,0.7109098911557002,0.071237347
64,1.7523,1.8251,-0.0047,0.053309315068493145,Put,Bachelier,0.6117070571663653,0.14361378
65,1.8393,2.2189,-0.0008,0.6106161643835616,Put,BlackScholes,1.5193939690740619,1.1078573
66,0.4259,0.4795,-0.0002,0.4324813698630137,Put,BlackScholes,1.1412272260812133,0.16082709
67,1.3028,1.3141,-0.0025,0.022822465753424656,Call,BlackScholes,0.3612785816078833,0.023160181
68,1.2267,1.5018,-0.0023,0.6369320547945205,Call,Bachelier,1.0668333078040326,0.38488539
69,1.1177,1.1687,-0.0047,0.614613698630137,Call,Bachelier,0.3069357334882538,0.088780636
70,0.938,0.9783,-0.004,0.74252301369863,Call,BlackScholes,0.3087721243919443,0.081396052
71,1.8523,1.9352,-0.0028,0.5063572602739727,Put,Bachelier,0.2006943890467071,0.15684617
